team,n,dominance,xg_against,own_conv,conc_conv,net_dom
Stade de Reims,106,1.289,1.401,0.776,0.808,-0.112
Athletic Club,148,1.288,0.975,0.95,0.971,0.313
Southampton,152,1.287,1.503,0.966,1.05,-0.216
VfL Wolfsburg,135,1.286,1.424,1.019,1.03,-0.138
Crystal Palace,148,1.286,1.259,0.856,0.95,0.028
Modena,38,1.285,0.94,0.799,0.868,0.345
Catanzaro,38,1.281,1.164,1.151,0.927,0.117
Royal Antwerp FC,108,1.277,1.293,0.935,0.773,-0.016
Başakşehir FK,83,1.27,1.189,1.034,0.922,0.081
Alemannia Aachen,74,1.268,1.245,0.991,0.987,0.022
Girona FC,148,1.268,1.317,1.018,0.98,-0.049
Fiorentina,149,1.261,1.099,0.969,0.934,0.162
AS Roma,115,1.26,0.929,1.007,0.974,0.331
Sparta Rotterdam,98,1.259,1.417,0.908,0.943,-0.158
Çaykur Rizespor,83,1.258,1.2,0.814,1.064,0.058
VfL Bochum 1848,133,1.257,1.661,0.843,1.027,-0.405
SV Zulte Waregem,35,1.257,1.466,1.023,0.877,-0.209
Real Betis,149,1.252,1.216,0.954,0.856,0.036
Hertha BSC,66,1.242,1.556,0.903,0.935,-0.314
SpVgg Unterhaching,57,1.241,1.791,0.82,0.95,-0.551
SV Werder Bremen,134,1.237,1.47,1.013,1.031,-0.233
FC Zürich,35,1.234,1.737,0.949,0.971,-0.502
Sheffield United,114,1.233,1.332,0.861,1.04,-0.099
Roma,34,1.231,1.083,1.051,0.76,0.148
Toulouse,138,1.231,1.264,0.948,0.975,-0.033
Blackburn Rovers,116,1.229,1.202,0.863,1.004,0.027
Everton,149,1.227,1.398,0.788,0.84,-0.172
Erzgebirge Aue,89,1.225,1.525,1.027,0.987,-0.3
Birmingham City,76,1.222,1.233,0.904,1.078,-0.011
TSV Havelse,36,1.22,1.995,1.07,1.1,-0.774
Almería,76,1.22,1.497,0.939,1.134,-0.278
Pescara,37,1.218,1.654,1.065,0.931,-0.436
West Bromwich Albion,114,1.217,1.016,1.002,0.967,0.201
Kayserispor,84,1.217,1.384,0.822,0.972,-0.167
West Ham United,149,1.215,1.504,0.917,0.982,-0.289
Lazio,150,1.213,1.058,0.989,0.882,0.155
Levante UD,35,1.211,1.578,0.92,0.923,-0.367
Watford,114,1.21,1.229,1.0,0.999,-0.019
Eyüpspor,57,1.209,1.364,0.885,0.759,-0.155
Dundee United,35,1.209,1.653,0.993,0.829,-0.445
PEC Zwolle,98,1.207,1.654,1.032,1.0,-0.447
Real Sociedad,148,1.201,1.036,0.922,0.965,0.165
Kilmarnock,35,1.198,1.633,0.954,1.015,-0.435
Fulham,150,1.198,1.426,1.03,0.865,-0.229
Fortuna Sittard,98,1.189,1.512,0.909,1.06,-0.322
Celta Vigo,149,1.187,1.123,0.967,1.1,0.065
1. FC Heidenheim,100,1.185,1.66,0.945,1.0,-0.474
1. FC Schweinfurt 05,35,1.182,1.958,0.725,1.021,-0.776
Bristol City,114,1.182,1.177,0.979,0.917,0.005
Sunderland,112,1.182,1.18,0.929,0.848,0.003
RKC Waalwijk,66,1.175,1.729,0.877,0.973,-0.554
Holstein Kiel,66,1.175,1.514,1.058,1.071,-0.34
Darmstadt 98,66,1.172,1.878,1.008,0.96,-0.706
Vitória SC,96,1.171,1.03,0.987,0.96,0.141
Hull City,114,1.169,1.301,1.043,0.964,-0.132
Gaziantep FK,83,1.166,1.372,0.972,0.922,-0.207
Stade Brestois,137,1.162,1.346,1.018,0.933,-0.184
Samsunspor,85,1.162,1.031,0.952,1.095,0.131
Heracles Almelo,98,1.153,1.807,0.92,1.062,-0.654
Swansea City,114,1.151,1.304,0.929,0.901,-0.153
Leicester City,152,1.151,1.474,1.091,0.991,-0.323
Mantova,38,1.141,1.279,0.9,1.008,-0.138
Millwall,114,1.14,1.162,0.908,0.898,-0.023
Montpellier,107,1.138,1.54,0.928,1.002,-0.402
Rayo Vallecano,148,1.137,1.177,0.773,0.93,-0.04
Wrexham,38,1.137,1.291,1.158,0.958,-0.154
Portsmouth,76,1.134,1.326,0.905,0.972,-0.192
Lorient,104,1.131,1.421,1.063,1.008,-0.29
Nottingham Forest,149,1.13,1.37,1.027,1.0,-0.24
Carrarese,38,1.13,1.227,0.931,0.922,-0.097
RWDM Brussels,34,1.129,1.824,0.937,0.903,-0.694
Bologna,149,1.125,1.008,1.08,0.972,0.117
FC Arouca,97,1.123,1.27,1.056,1.031,-0.147
Estoril Praia,96,1.118,1.502,1.184,0.943,-0.384
Famalicão,97,1.115,1.115,0.989,0.832,0.0
NAC Breda,66,1.109,1.554,0.779,0.985,-0.445
FC Augsburg,135,1.107,1.565,1.044,0.965,-0.458
Alanyaspor,83,1.106,1.254,0.861,0.999,-0.148
Stoke City,114,1.106,1.367,0.84,0.828,-0.26
Kasımpaşa,85,1.105,1.393,1.118,1.064,-0.287
Oud-Heverlee Leuven,110,1.104,1.388,0.798,0.858,-0.283
FC Winterthur,35,1.102,1.993,0.959,1.218,-0.891
FCV Dender,74,1.101,1.612,0.871,0.956,-0.511
Virtus Entella,38,1.098,1.181,0.791,1.047,-0.083
Aberdeen,35,1.095,1.455,0.809,0.864,-0.361
Juve Stabia,38,1.093,1.031,0.915,0.945,0.062
Konyaspor,83,1.091,1.233,0.895,0.928,-0.142
Spezia,76,1.085,1.452,0.776,0.988,-0.366
Sevilla,149,1.082,1.311,0.987,0.983,-0.229
Monza,152,1.081,1.24,0.956,0.971,-0.159
FC Volendam,64,1.081,2.034,0.868,0.976,-0.954
Santa Clara,66,1.076,0.872,0.789,1.042,0.204
Huddersfield Town,38,1.072,1.334,0.957,1.144,-0.262
Valencia,148,1.071,1.139,0.858,0.997,-0.068
Luton Town,76,1.069,1.666,0.911,1.051,-0.597
Sheffield Wednesday,115,1.062,1.471,0.819,1.076,-0.409
Espanyol,111,1.059,1.402,0.961,0.99,-0.343
Udinese,150,1.056,1.23,0.984,0.9,-0.174
Derby County,76,1.055,1.157,1.023,1.023,-0.103
Saint-Étienne,34,1.053,1.984,1.006,0.919,-0.932
CD Nacional,66,1.05,1.278,0.822,0.948,-0.228
Grasshopper Club Zürich,35,1.048,1.705,0.927,1.006,-0.657
Sassuolo,112,1.047,1.351,0.964,1.037,-0.305
RAAL La Louvière,35,1.047,1.207,0.71,0.971,-0.16
Nantes,139,1.047,1.366,0.811,0.927,-0.319
Gil Vicente,95,1.044,1.135,1.008,1.002,-0.091
1. FC Union Berlin,133,1.039,1.303,1.028,1.033,-0.264
Deportivo Alavés,111,1.037,1.081,0.782,0.991,-0.045
St. Mirren,35,1.032,1.254,0.72,1.025,-0.222
Sivasspor,60,1.026,1.321,1.121,0.984,-0.295
Cagliari,112,1.026,1.377,0.923,1.037,-0.351
Plymouth Argyle,75,1.026,1.695,1.118,0.991,-0.669
Rio Ave,95,1.026,1.401,0.903,0.976,-0.375
Wolverhampton,150,1.023,1.51,0.918,1.002,-0.487
Le Havre,100,1.018,1.549,0.815,0.91,-0.531
Queens Park Rangers,114,1.014,1.153,0.977,1.148,-0.139
Almere City FC,66,1.014,1.561,0.732,1.048,-0.547
Auxerre,104,1.014,1.466,0.863,0.905,-0.452
Standard Liège,110,1.014,1.455,0.762,0.787,-0.441
Preston North End,114,1.013,1.27,1.039,0.933,-0.257
SC Farense,65,1.006,1.465,0.918,0.788,-0.459
Südtirol,38,1.002,1.081,0.893,1.023,-0.079
Fatih Karagümrük,53,1.001,1.271,0.961,0.935,-0.27
CF Estrela Amadora,97,1.001,1.295,0.793,1.059,-0.294
Torino,150,0.997,1.085,0.936,0.971,-0.087
Empoli,152,0.994,1.312,0.847,0.968,-0.318
Burnley,111,0.992,1.451,1.017,0.863,-0.459
Elche,73,0.985,1.658,0.918,0.876,-0.672
Clermont Foot,73,0.985,1.495,0.82,0.87,-0.51
Osasuna,149,0.984,1.228,0.982,0.956,-0.244
K. Beerschot V.A.,34,0.979,1.82,0.932,0.857,-0.841
KV Kortrijk,69,0.977,1.642,0.89,1.015,-0.665
Oxford United,76,0.975,1.368,0.972,0.933,-0.393
Padova,38,0.973,1.435,0.947,0.807,-0.462
US Avellino 1912,38,0.972,1.194,1.083,1.036,-0.222
Bari,38,0.969,1.489,0.924,0.937,-0.521
Granada,38,0.968,1.605,0.815,1.18,-0.637
SC Freiburg II U23,38,0.967,1.685,0.98,0.906,-0.718
Charlton Athletic,38,0.966,1.27,0.899,0.829,-0.304
Hatayspor,58,0.964,1.524,1.002,0.95,-0.561
Antalyaspor,84,0.96,1.345,1.042,1.001,-0.384
Cardiff City,76,0.958,1.43,1.072,0.975,-0.472
Troyes,38,0.955,1.953,1.047,0.97,-0.998
Genoa,111,0.954,1.102,1.02,0.965,-0.148
Cádiz,76,0.954,1.408,0.648,0.897,-0.454
Mallorca,148,0.952,1.209,0.93,0.894,-0.257
Angers,104,0.951,1.536,0.768,1.002,-0.584
KAS Eupen,34,0.937,1.774,0.785,0.945,-0.837
Pisa,35,0.926,1.471,0.555,1.107,-0.545
Parma,73,0.926,1.387,0.858,0.869,-0.461
Adana Demirspor,56,0.92,1.58,1.068,1.085,-0.66
FC St. Pauli,67,0.917,1.404,0.797,0.989,-0.487
Real Oviedo,34,0.908,1.423,0.778,1.013,-0.515
Sampdoria,76,0.908,1.294,0.753,1.068,-0.386
Reggiana,38,0.906,1.373,0.958,1.016,-0.467
Boavista,65,0.903,1.511,0.784,1.038,-0.608
Hellas Verona,149,0.899,1.287,0.836,1.137,-0.387
Metz,66,0.897,1.581,0.946,1.074,-0.684
Cremonese,73,0.893,1.597,0.829,0.952,-0.704
Livingston,35,0.891,1.749,1.026,0.964,-0.858
Getafe,148,0.885,1.132,0.909,0.907,-0.247
Moreirense,97,0.885,1.078,1.188,1.071,-0.192
Real Valladolid,76,0.881,1.608,0.747,1.129,-0.727
Lecce,150,0.877,1.276,0.767,0.919,-0.399
Salernitana,76,0.857,1.727,1.137,0.944,-0.871
Dundee FC,35,0.843,1.519,0.949,0.922,-0.676
Las Palmas,76,0.832,1.463,0.996,0.819,-0.631
Leganés,38,0.819,1.441,1.061,0.84,-0.622
AVS - Futebol SAD,66,0.816,1.654,0.78,1.063,-0.837
Casa Pia,97,0.809,1.279,1.095,0.991,-0.47
Ajaccio,38,0.793,1.242,0.531,1.334,-0.449
Willem II Tilburg,34,0.721,1.582,1.102,0.874,-0.862
Rotherham United,38,0.662,1.68,1.152,1.159,-1.017
